init,seed,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
random,2,250,3,5,2,-736.4896196314642,"[[0.18655693 0.14266118 0.18655693 0.59122085 0.81344307]
 [0.10973937 0.40877915 0.84636488 0.14266118 0.54183813]
 [0.33470508 0.30178326 0.95610425 0.25788752 0.33470508]]","[[1 2 2 1 1]
 [2 1 2 1 2]
 [1 2 2 2 2]]",[0.09154295 0.29772694 0.61073011],0.18264412879943848,0.027333786834281792,0.0,0.06453311994601524
random,3,250,3,5,2,-713.5640035994612,"[[0.48010974 0.25788752 0.84636488 0.25788752 0.3648834 ]
 [0.33196159 0.18655693 0.3648834  0.9122085  0.81344307]
 [0.95610425 0.69821674 0.59122085 0.18655693 0.66529492]]","[[1 1 2 2 1]
 [1 1 2 2 2]
 [1 2 2 2 1]]",[0.2600746 0.3808978 0.3590276],0.05157589912414551,0.060172915767393365,0.0,0.062754025596477
random,4,250,3,5,2,-727.8361689314677,"[[0.6351166  0.9122085  0.6351166  0.0877915  0.51989026]
 [0.29080933 0.59122085 0.37585734 0.70919067 0.66803841]
 [0.48010974 0.74211248 0.81344307 0.15363512 0.04389575]]","[[1 1 2 2 2]
 [1 2 1 1 2]
 [1 1 2 2 2]]",[0.39744645 0.24081174 0.36174181],0.035691022872924805,0.04836930512861655,0.1,0.03476266155163053
random,5,250,3,5,2,-747.9436296426901,"[[0.59122085 0.95610425 0.0877915  0.2085048  0.48010974]
 [0.25788752 0.76406036 0.2085048  0.23593964 0.0877915 ]
 [0.89026063 0.30178326 0.56927298 0.81344307 0.10973937]]","[[2 1 2 2 1]
 [1 1 2 1 1]
 [2 1 2 1 1]]",[0.19303331 0.3809121  0.4260546 ],0.05702090263366699,0.05591470269073184,0.0,0.08952312052669245
random,6,250,3,5,2,-776.1256298504225,"[[0.52400549 0.56927298 0.43072702 0.74211248 0.33196159]
 [0.48010974 0.48010974 0.9122085  0.9122085  0.25788752]
 [0.81344307 0.74211248 0.54183813 0.6351166  0.18655693]]","[[1 2 2 1 1]
 [2 1 1 1 1]
 [2 2 2 2 2]]",[0.41377753 0.27436212 0.31186036],0.07984805107116699,0.06464250882688084,0.1,0.06660155896768863
random,7,250,3,5,2,-729.0333676778727,"[[0.45816187 0.15363512 0.59122085 0.81344307 0.25788752]
 [0.33470508 0.76406036 0.66529492 0.40877915 0.54183813]
 [0.95610425 0.37585734 0.70919067 0.18655693 0.9122085 ]]","[[2 2 2 1 2]
 [2 2 2 1 2]
 [1 2 1 2 1]]",[0.2389147 0.2870335 0.4740518],0.026340007781982422,0.05897029893788387,0.1,0.040894794661493504
random,8,250,3,5,2,-685.4826406704128,"[[0.18655693 0.84636488 0.95610425 0.10973937 0.9122085 ]
 [0.37585734 0.74211248 0.14266118 0.40877915 0.59122085]
 [0.89026063 0.0877915  0.43072702 0.33470508 0.76406036]]","[[2 1 2 2 2]
 [1 1 2 1 2]
 [1 2 2 1 2]]",[0.32139378 0.32157842 0.35702781],0.31589317321777344,0.04950064240250495,0.0,0.04073176051420755
random,9,250,3,5,2,-739.6639922193015,"[[0.14266118 0.3648834  0.25788752 0.66803841 0.40877915]
 [0.81344307 0.95610425 0.81344307 0.18655693 0.23593964]
 [0.95610425 0.43072702 0.95610425 0.76406036 0.45816187]]","[[1 1 1 2 1]
 [1 2 1 2 2]
 [1 1 2 1 1]]",[0.31831265 0.44748414 0.23420321],0.03205680847167969,0.01641461591195543,0.0,0.05379706473756625
kmeans,0,250,3,5,2,-776.6215961079067,"[[0.89026063 0.10973937 0.81344307 0.62414266 0.85733882]
 [0.95610425 0.04389575 0.54183813 0.95610425 0.66803841]
 [0.43072702 0.59122085 0.3648834  0.10973937 0.43072702]]","[[2 1 1 2 1]
 [1 2 2 1 2]
 [2 2 2 2 2]]",[0.32545353 0.1307998  0.54374667],0.02758002281188965,0.08911407547976749,0.2,0.19232952456170777
kmeans,1,250,3,5,2,-636.706515827922,"[[0.95610425 0.95610425 0.81344307 0.6351166  0.76406036]
 [0.95610425 0.95610425 0.95610425 0.48010974 0.54183813]
 [0.43072702 0.33470508 0.69821674 0.84636488 0.33196159]]","[[1 2 1 2 2]
 [2 2 1 2 2]
 [2 2 2 2 1]]",[0.45081398 0.22351441 0.32567162],0.05102729797363281,0.15517587010579365,0.2,0.13515149342430496
